bodyId,instance,type
5813088391,ADL07of_pct(ADL07)_R,ADL07of_pct
326870795,FB09i(AVM10)_R,FB9B_e
5813097632,PDM10v_a_pct(PDM10)_R,PDM10v_a_pct
5813009302,PDL11oh_pct(PDL11)_R,PDL11oh_pct
948812702,ADL01w_a_pct(ADL01)_R,ADL01w_a_pct
295120620,PDL11v_pct(PDL11)_R,PDL11v_pct
325797488,PDL10g_i_pct(PDL10)_R,PDL10g_i_pct
295115794,PDL11t_pct(PDL11)_R,PDL11t_pct
294437347,ADL01u_pct(ADL01)_R,ADL01u_pct
295474250,PDL17s_b_pct(PDL17)_R,PDL17s_b_pct
295116205,SA1_a(AVM08)_R,SA1_a
295461534,ADL02h_a_pct(ADL02)_R,ADL02h_a_pct
294792184,mlPN2(AVM04)_R,olfactory multi vPN mlALT
540662210,PDL14k_pct(PDL14)_R,PDL14k_pct
294774792,PDL06c_pct(PDL06)_R,PDL06c_pct
541007502,PDL14k_pct(PDL14)_R,PDL14k_pct
5813099605,ADL07v_pct(ADL07)_R,ADL07v_pct
387878711,ADL07ob_pct(ADL07)_R,ADL07ob_pct
295478082,PDL20x_pct(PDL20)_R,PDL20x_pct
5813009354,PDM18a_a_pct(PDM18)_R,PDM18a_a_pct
387556524,ADL09d_pct(ADL09)_R,ADL09d_pct
5813064478,AVM07d_pct(AVM07)_R,AVM07d_pct
356832508,ADL10c_b_pct(ADL10)_R,ADL10c_b_pct
295482340,PDM10v_a_pct(PDM10)_R,PDM10v_a_pct
482050067,FB09h(PDM25)_R,FB9C_b
326879917,PDM07r_pct(PDM07)_R,PDM07r_pct
5813061371,PDL10g_b_pct(PDL10)_R,PDL10g_b_pct
325472654,PDL10h_pct(PDL10)_R,PDL10h_pct
295443136,ADL05k_pct(ADL05)_R,ADL05k_pct
886280488,FB09c(AVM10)_R,FB9B_d
296838229,PDL07s_pct(PDL07)_R,PDL07s_pct
295461570,PDL23g_pct(PDL23)_R,PDL23g_pct
388605118,AVM07t_pct(AVM07)_R,AVM07t_pct
295434457,PDL13x_pct(PDL13)_R,PDL13x_pct
5813011395,PDL14b_pct(PDL14)_R,PDL14b_pct
295478389,AVM07t_pct(AVM07)_R,AVM07t_pct
297851977,,
295141618,FB09h(PDM25)_R,FB9C_b
638472166,ADL15m_pct(ADL15)_R,ADL15m_pct
5813009312,ADL17a_pct(ADL17)_R,ADL17a_pct
295461871,ADL10p_pct(ADL10)_R,ADL10p_pct
294792344,AVM07d_pct(AVM07)_R,AVM07d_pct
294787849,PDL05d_pct(PDL05)_R,PDL05d_pct
295111672,PDL10oy_pct(PDL10)_R,PDL10oy_pct
358251878,FB01b(AVM08)_R,FB1B
324790113,PDL13p_pct(PDL13)_R,PDL13p_pct
266847236,PDM18a_b_pct(PDM18)_R,PDM18a_b_pct
911012735,PDL23d_pct(PDL23)_R,PDL23d_pct
295120601,PDL17x_pct(PDL17)_R,PDL17x_pct
294783423,PDL11oh_pct(PDL11)_R,PDL11oh_pct
294800293,FB07a(PDL05)_R,FB7A
5813067337,PDL17z_pct(PDL17)_R,PDL17z_pct
295461707,ADL10h_pct(ADL10)_R,ADL10h_pct
296843037,PDM10v_a_pct(PDM10)_R,PDM10v_a_pct
327499164,ADL05b_pct(ADL05)_R,ADL05b_pct
479952665,PDL14m_b_pct(PDL14)_R,PDL14m_b_pct
326509224,PDM18i_pct(PDM18)_R,PDM18i_pct
326137566,PDL13q_a_pct(PDL13)_R,PDL13q_a_pct
326164634,PDL14b_pct(PDL14)_R,PDL14b_pct
296153150,PDL11w_pct(PDL11)_R,PDL11w_pct
325490014,ADL04r_pct(ADL04)_R,ADL04r_pct
295798962,ADL10q_pct(ADL10)_R,ADL10q_pct
296168382,PDL17v_pct(PDL17)_R,PDL17v_pct
295849217,PDM18g_pct(PDM18)_R,PDM18g_pct
480257896,ADL10q_pct(ADL10)_R,ADL10q_pct
325814669,ADL10k_pct(ADL10)_R,ADL10k_pct
296143798,FB09a(PDM25)_R,FB9A
296497316,FB09f(AVM08)_R,SA3
295133902,(PDL14)_L,
296859438,PDM05i_pct(PDM05)_R,PDM05i_pct
296505463,ADL23b_pct(ADL23)_R,ADL23b_pct
357832762,ADL10d_b_pct(ADL10)_R,ADL10d_b_pct
295470816,ADL07oi_pct(ADL07)_R,ADL07oi_pct
295820069,FB08a(PDL05)_R,FB7L
5813056887,ADL02q_pct(ADL02)_R,ADL02q_pct
295466276,ADL07oi_pct(ADL07)_R,ADL07oi_pct
296164879,ADL20h_a_pct(ADL20)_R,ADL20h_a_pct
5813071288,PDM05j_e_pct(PDM05)_R,PDM05j_e_pct
886280235,FB09c(AVM10)_R,FB9B_d
5813075909,PDM18a_a_pct(PDM18)_R,PDM18a_a_pct
573056433,PDL23d_pct(PDL23)_R,PDL23d_pct
5813009788,PDL11z_pct(PDL11)_R,PDL11z_pct
5813046963,FQ12_b(AB)_C9_L,FQ12_b
296501634,PDL07s_pct(PDL07)_R,PDL07s_pct
5901193416,ADL07ok_pct(ADL07)_R,ADL07ok_pct
325815440,PDL10p_pct(PDL10)_R,PDL10p_pct
294778999,PDL17x_pct(PDL17)_R,PDL17x_pct
295490863,FQ12_b_C8_L,FQ12_b
386834269,DN1pB(PDM24)_R,DN1pB
5812980006,PDL21c_pct(PDL21)_R,PDL21c_pct
296509709,PDM18b_b_pct(PDM18)_R,PDM18b_b_pct
295785459,ADL10h_pct(ADL10)_R,ADL10h_pct
295814895,PDL17s_b_pct(PDL17)_R,PDL17s_b_pct
295820085,FB08m(AVM10)_R,FB8F
295815955,PDM18i_pct(PDM18)_R,PDM18i_pct
297217528,PVL04y_pct(PVL04)_R,PVL04y_pct
296489073,ADL10d_b_pct(ADL10)_R,ADL10d_b_pct
388246273,FB09f(AVM08)_R,SA3
421605182,ADL20g_pct(ADL20)_R,ADL20g_pct
296514350,FB01b(AVM08)_R,FB1B
296543992,PDL27c_pct(PDL27)_R,PDL27c_pct
541965840,PDL17d_pct(PDL17)_R,PDL17d_pct
326155085,ADL16h_pct(ADL16)_R,ADL16h_pct
326812225,PDL10g_j_pct(PDL10)_R,PDL10g_j_pct
